,line,word,char,name
,9567,240445,1716190,r/cleaned/text_data_2020-11-22.csv
,10177,231618,1647439,r/cleaned/text_data_2020-11-23.csv
,8859,212160,1514810,r/cleaned/text_data_2020-11-24.csv
,8269,191729,1371777,r/cleaned/text_data_2020-11-25.csv
,8918,221792,1571801,r/cleaned/text_data_2020-11-26.csv
,6390,162548,1163691,r/cleaned/text_data_2020-11-27.csv
,8259,216406,1539986,r/cleaned/text_data_2020-11-28.csv
,8229,211111,1504093,r/cleaned/text_data_2020-11-29.csv
,8155,205345,1465282,r/cleaned/text_data_2020-11-30.csv
,9216,219785,1561746,r/cleaned/text_data_2020-12-01.csv
,8401,203703,1441966,r/cleaned/text_data_2020-12-02.csv
,2,2,25,r/cleaned/text_data_2020-12-03.csv
,2,2,25,r/cleaned/text_data_2020-12-04.csv
,7100,182339,1297182,r/cleaned/text_data_2020-12-05.csv
,7550,176056,1258348,r/cleaned/text_data_2020-12-06.csv
,9200,214532,1545957,r/cleaned/text_data_2020-12-07.csv
,9957,240945,1745633,r/cleaned/text_data_2020-12-08.csv
,10343,250623,1795928,r/cleaned/text_data_2020-12-09.csv
,7565,183379,1321807,r/cleaned/text_data_2020-12-10.csv
,7555,183342,1313734,r/cleaned/text_data_2020-12-11.csv
,7667,193987,1395105,r/cleaned/text_data_2020-12-12.csv
,8824,202267,1460661,r/cleaned/text_data_2020-12-13.csv
,10675,259963,1861054,r/cleaned/text_data_2020-12-14.csv
,8365,207345,1490246,r/cleaned/text_data_2020-12-15.csv
,9534,216246,1549208,r/cleaned/text_data_2020-12-16.csv
,10273,242757,1742728,r/cleaned/text_data_2020-12-17.csv
,7856,199977,1439966,r/cleaned/text_data_2020-12-18.csv
,8557,207133,1488360,r/cleaned/text_data_2020-12-19.csv
,10054,242547,1735623,r/cleaned/text_data_2020-12-20.csv
,11513,256011,1845316,r/cleaned/text_data_2020-12-21.csv
,8738,204371,1464449,r/cleaned/text_data_2020-12-22.csv
,7833,183567,1319895,r/cleaned/text_data_2020-12-23.csv
,6450,167060,1194938,r/cleaned/text_data_2020-12-24.csv
,7791,183843,1317703,r/cleaned/text_data_2020-12-25.csv
,9748,218990,1568258,r/cleaned/text_data_2020-12-26.csv
,9057,214513,1538252,r/cleaned/text_data_2020-12-27.csv
,9005,220848,1587297,r/cleaned/text_data_2020-12-28.csv
,9910,234331,1679413,r/cleaned/text_data_2020-12-29.csv
,2,2,25,r/cleaned/text_data_2020-12-30.csv
,2,2,25,r/cleaned/text_data_2020-12-31.csv
,9598,221370,1595697,r/cleaned/text_data_2021-01-01.csv
,10130,228407,1630565,r/cleaned/text_data_2021-01-02.csv
,8279,190937,1377372,r/cleaned/text_data_2021-01-03.csv
,9876,217754,1570148,r/cleaned/text_data_2021-01-04.csv
,7290,169458,1223063,r/cleaned/text_data_2021-01-05.csv
,4733,110579,801434,r/cleaned/text_data_2021-01-06.csv
,5810,138524,994348,r/cleaned/text_data_2021-01-07.csv
,5348,124983,896139,r/cleaned/text_data_2021-01-08.csv
,4896,116000,834472,r/cleaned/text_data_2021-01-09.csv
,5495,131157,942125,r/cleaned/text_data_2021-01-10.csv
,6392,155890,1125564,r/cleaned/text_data_2021-01-11.csv
,2,2,25,r/cleaned/text_data_2021-01-12.csv
,6676,170151,1221698,r/cleaned/text_data_2021-01-13.csv
,3356,87351,619718,r/cleaned/text_data_2021-01-14.csv
,5693,134131,966095,r/cleaned/text_data_2021-01-15.csv
,6196,153199,1101579,r/cleaned/text_data_2021-01-16.csv
,7766,194366,1386743,r/cleaned/text_data_2021-01-17.csv
,6379,154295,1112969,r/cleaned/text_data_2021-01-18.csv
,4988,112065,812179,r/cleaned/text_data_2021-01-19.csv
,5788,138875,1001695,r/cleaned/text_data_2021-01-20.csv
,2,2,25,r/cleaned/text_data_2021-01-21.csv
,2,2,25,r/cleaned/text_data_2021-01-22.csv
,2,2,25,r/cleaned/text_data_2021-01-23.csv
,2,2,25,r/cleaned/text_data_2021-01-24.csv
,2,2,25,r/cleaned/text_data_2021-01-25.csv
,3695,86116,617494,r/cleaned/text_data_2021-01-26.csv
,7464,167748,1210698,r/cleaned/text_data_2021-01-27.csv
,9813,228792,1650272,r/cleaned/text_data_2021-01-28.csv
,6036,153986,1114835,r/cleaned/text_data_2021-01-29.csv
,6872,154419,1112334,r/cleaned/text_data_2021-01-30.csv
,6777,152076,1097487,r/cleaned/text_data_2021-01-31.csv
,6321,149863,1082257,r/cleaned/text_data_2021-02-01.csv
,4704,116817,846133,r/cleaned/text_data_2021-02-02.csv
,2,2,25,r/cleaned/text_data_2021-02-03.csv
,2,2,25,r/cleaned/text_data_2021-02-04.csv
,2,2,25,r/cleaned/text_data_2021-02-05.csv
,2,2,25,r/cleaned/text_data_2021-02-06.csv
,5394,119081,860422,r/cleaned/text_data_2021-02-07.csv
,6078,147251,1066393,r/cleaned/text_data_2021-02-08.csv
,4878,115499,832939,r/cleaned/text_data_2021-02-09.csv
,7226,170522,1236799,r/cleaned/text_data_2021-02-10.csv
,6258,142700,1036596,r/cleaned/text_data_2021-02-11.csv
,5619,143141,1030383,r/cleaned/text_data_2021-02-12.csv
,5265,123616,892779,r/cleaned/text_data_2021-02-13.csv
,6698,149566,1083321,r/cleaned/text_data_2021-02-14.csv
,2,2,25,r/cleaned/text_data_2021-02-15.csv
,3383,72800,529173,r/cleaned/text_data_2021-02-16.csv
,7043,170464,1228470,r/cleaned/text_data_2021-02-17.csv
,5843,137183,993450,r/cleaned/text_data_2021-02-18.csv
,2,2,25,r/cleaned/text_data_2021-02-19.csv
,6614,159859,1157643,r/cleaned/text_data_2021-02-20.csv
,7443,182657,1319336,r/cleaned/text_data_2021-02-21.csv
,6780,162623,1173647,r/cleaned/text_data_2021-02-22.csv
,6368,146695,1062945,r/cleaned/text_data_2021-02-23.csv
,6525,157256,1133875,r/cleaned/text_data_2021-02-24.csv
,2,2,25,r/cleaned/text_data_2021-02-25.csv
,1569,38837,280276,r/cleaned/text_data_2021-02-26.csv
,2,2,25,r/cleaned/text_data_2021-02-27.csv
,2,2,25,r/cleaned/text_data_2021-02-28.csv
,4579,108775,777270,r/cleaned/text_data_2021-03-01.csv
,6011,153224,1103247,r/cleaned/text_data_2021-03-02.csv
,6919,158833,1147917,r/cleaned/text_data_2021-03-03.csv
,646,15053,107286,r/cleaned/text_data_2021-03-04.csv
,2,2,25,r/cleaned/text_data_2021-03-05.csv
,1025,22246,160695,r/cleaned/text_data_2021-03-06.csv
,3964,97794,700887,r/cleaned/text_data_2021-03-07.csv
,5723,143454,1032294,r/cleaned/text_data_2021-03-08.csv
,5997,145407,1040535,r/cleaned/text_data_2021-03-09.csv
,6580,159515,1145619,r/cleaned/text_data_2021-03-10.csv
,9151,224988,1616116,r/cleaned/text_data_2021-03-11.csv
,7296,175293,1261081,r/cleaned/text_data_2021-03-12.csv
,6231,158383,1135107,r/cleaned/text_data_2021-03-13.csv
,3673,82659,610569,r/cleaned/text_data_2021-03-14.csv
,7013,162704,1178657,r/cleaned/text_data_2021-03-15.csv
,4732,113260,818138,r/cleaned/text_data_2021-03-16.csv
