,date,new_cases,d_s_pos,d_s_neg,total,por_pos,por_neg,pos_strength,neg_strength
439,05-04-2021,13.093467895117453,0.144850989,0.855149011,9.105979357,-0.219888621,0.339291761,-0.03185108422169617,0.2901450138595984
440,06-04-2021,13.313775159292922,0.14604367,0.85395633,9.250137842,-0.231438264,0.361224447,-0.03380009345298888,0.30846990306639954
441,07-04-2021,13.438799073659547,0.140329237,0.859670763,9.076808979,-0.070680339,0.230643761,-0.009918518042771341,0.19827769800005965
442,08-04-2021,13.642404012237195,0.156118702,0.843881298,8.967376693,0.774654415,-0.575369694,0.12093804176836932,-0.48554372420258285
443,09-04-2021,13.52884263775289,0.0,0.0,0.0,0.0,0.0,0.0,0.0
444,10-04-2021,13.412526868588536,0.0,0.0,0.0,0.0,0.0,0.0,0.0
445,11-04-2021,13.447823777116977,0.0,0.0,0.0,0.0,0.0,0.0,0.0
446,12-04-2021,13.327530313247552,0.0,0.0,0.0,0.0,0.0,0.0,0.0
447,13-04-2021,13.56901137490236,0.156509402,0.843490598,8.791638037,-0.649012468,0.116622011,-0.10157655325722413,0.09836956979835258
448,14-04-2021,13.612752797206824,0.154267039,0.845732961,9.065198986,0.659528312,0.334825294,0.10174347982890816,0.2831727873123155
449,15-04-2021,13.613535122810468,0.144062753,0.855937247,8.963288276,0.763714475,0.851141269,0.11002280977444967,0.7285235145959464
450,16-04-2021,13.662566816160872,0.131996293,0.868003707,8.587651655,-1.690015553,0.64241775,-0.22307578810834502,0.5576209884425992
451,17-04-2021,13.57726859715046,0.137625367,0.862374633,8.751949058,-0.293098206,-0.016782958,-0.0403377481677916,-0.014473197245904413
452,18-04-2021,13.440108493878435,0.140895327,0.859104673,8.96903285,-0.088242384,-0.466167346,-0.012432939548939566,-0.40048654534860784
453,19-04-2021,13.448874740259654,0.127728854,0.872271146,9.007856923,-0.630430783,0.484264058,-0.08052420143891269,0.42240956483827047
454,20-04-2021,13.657986193657877,0.136025063,0.863974937,8.636574948,0.564631438,-0.727034411,0.0768040269257306,-0.6281395094405572
